mach,altitude_m,h_m,r_m,theta_deg,T_ambient_K,P_ambient_Pa,p_recovery,dc60,meets_mil,P_fan_face_Pa,T2_K,P2_Pa,T3_K,P3_Pa,T4_K,P4_Pa,thrust_N,tsfc,isp_s,fuel_flow_kg_s,V_exit_m_s
1.4,15000,0.25,0.04,10.0,216.65,22630.6,nan,nan,0,nan,532.7,nan,1379.87,nan,1028.7,nan,nan,inf,nan,1.0,nan
1.4,15000,0.25,0.04,15.0,216.65,22630.6,nan,nan,0,nan,532.7,nan,1379.87,nan,1028.7,nan,nan,inf,nan,1.0,nan
1.4,15000,0.25,0.04,20.0,216.65,22630.6,nan,nan,0,nan,532.7,nan,1379.87,nan,1028.7,nan,nan,inf,nan,1.0,nan
1.4,15000,0.25,0.04,25.0,216.65,22630.6,0.993744,0.103441,1,22489.0,532.7,404802.8,1379.87,392658.7,1028.7,120213.5,8689.84,0.00011508,885.814,1.0,586.892
1.6,0,0.05,0.04,5.0,288.15,101325.0,0.957265,0.043504,0,96994.8,708.51,1745907.0,1555.67,1693529.8,1088.61,401707.4,2963.63,0.00033742,302.103,1.0,603.74
1.6,0,0.05,0.04,10.0,288.15,101325.0,0.991442,0.024707,1,100457.9,708.51,1808241.4,1555.67,1753994.2,1088.61,416049.6,2963.63,0.00033742,302.103,1.0,603.74
1.6,0,0.05,0.04,15.0,288.15,101325.0,0.985852,0.027781,1,99891.5,708.51,1798046.2,1555.67,1744104.9,1088.61,413703.9,2963.63,0.00033742,302.103,1.0,603.74
1.6,0,0.05,0.04,20.0,288.15,101325.0,0.990036,0.02548,1,100315.4,708.51,1805677.9,1555.67,1751507.6,1088.61,415459.8,2963.63,0.00033742,302.103,1.0,603.74
1.6,0,0.05,0.04,25.0,288.15,101325.0,0.979823,0.031097,1,99280.6,708.51,1787051.0,1555.67,1733439.4,1088.61,411174.0,2963.63,0.00033742,302.103,1.0,603.74
1.6,0,0.1,0.04,5.0,288.15,101325.0,0.957265,0.063504,0,96994.8,708.51,1745907.0,1555.67,1693529.8,1088.61,401707.4,2963.63,0.00033742,302.103,1.0,603.74
1.6,0,0.1,0.04,10.0,288.15,101325.0,0.991442,0.044707,1,100457.9,708.51,1808241.4,1555.67,1753994.2,1088.61,416049.6,2963.63,0.00033742,302.103,1.0,603.74
1.6,0,0.1,0.04,15.0,288.15,101325.0,0.985852,0.047781,1,99891.5,708.51,1798046.2,1555.67,1744104.9,1088.61,413703.9,2963.63,0.00033742,302.103,1.0,603.74
1.6,0,0.1,0.04,20.0,288.15,101325.0,0.990036,0.04548,1,100315.4,708.51,1805677.9,1555.67,1751507.6,1088.61,415459.8,2963.63,0.00033742,302.103,1.0,603.74
1.6,0,0.1,0.04,25.0,288.15,101325.0,0.979823,0.051097,1,99280.6,708.51,1787051.0,1555.67,1733439.4,1088.61,411174.0,2963.63,0.00033742,302.103,1.0,603.74
1.6,0,0.15,0.04,5.0,288.15,101325.0,0.957265,0.083504,0,96994.8,708.51,1745907.0,1555.67,1693529.8,1088.61,401707.4,2963.63,0.00033742,302.103,1.0,603.74
1.6,0,0.15,0.04,10.0,288.15,101325.0,0.991442,0.064707,1,100457.9,708.51,1808241.4,1555.67,1753994.2,1088.61,416049.6,2963.63,0.00033742,302.103,1.0,603.74
1.6,0,0.15,0.04,15.0,288.15,101325.0,0.985852,0.067781,1,99891.5,708.51,1798046.2,1555.67,1744104.9,1088.61,413703.9,2963.63,0.00033742,302.103,1.0,603.74
1.6,0,0.15,0.04,20.0,288.15,101325.0,0.990036,0.06548,1,100315.4,708.51,1805677.9,1555.67,1751507.6,1088.61,415459.8,2963.63,0.00033742,302.103,1.0,603.74
1.6,0,0.15,0.04,25.0,288.15,101325.0,0.979823,0.071097,1,99280.6,708.51,1787051.0,1555.67,1733439.4,1088.61,411174.0,2963.63,0.00033742,302.103,1.0,603.74
1.6,0,0.2,0.04,5.0,288.15,101325.0,0.957265,0.103504,0,96994.8,708.51,1745907.0,1555.67,1693529.8,1088.61,401707.4,2963.63,0.00033742,302.103,1.0,603.74
1.6,0,0.2,0.04,10.0,288.15,101325.0,0.991442,0.084707,1,100457.9,708.51,1808241.4,1555.67,1753994.2,1088.61,416049.6,2963.63,0.00033742,302.103,1.0,603.74
1.6,0,0.2,0.04,15.0,288.15,101325.0,0.985852,0.087781,1,99891.5,708.51,1798046.2,1555.67,1744104.9,1088.61,413703.9,2963.63,0.00033742,302.103,1.0,603.74
1.6,0,0.2,0.04,20.0,288.15,101325.0,0.990036,0.08548,1,100315.4,708.51,1805677.9,1555.67,1751507.6,1088.61,415459.8,2963.63,0.00033742,302.103,1.0,603.74
1.6,0,0.2,0.04,25.0,288.15,101325.0,0.979823,0.091097,1,99280.6,708.51,1787051.0,1555.67,1733439.4,1088.61,411174.0,2963.63,0.00033742,302.103,1.0,603.74
1.6,0,0.25,0.04,5.0,288.15,101325.0,0.957265,0.123504,0,96994.8,708.51,1745907.0,1555.67,1693529.8,1088.61,401707.4,2963.63,0.00033742,302.103,1.0,603.74
1.6,0,0.25,0.04,10.0,288.15,101325.0,0.991442,0.104707,1,100457.9,708.51,1808241.4,1555.67,1753994.2,1088.61,416049.6,2963.63,0.00033742,302.103,1.0,603.74
